//當代中文/Book 1/L01-I
陈月美[陳月美]	Chén Yuèměi	a woman from Vietnam
法案[法案]	fǎ'àn	(N) bill, act
//當代中文/Book 5/L10-II
镜头[鏡頭]	jìngtóu	(N) lens, shot, scene
联邦[聯邦]	liánbāng	(N) federal, federation, union
彩虹[彩虹]	cǎihóng	(N) rainbow
旗[旗]	qí	(N) flag, banner, standard
时刻[時刻]	shíkè	(N) moment (in time)
驻外[駐外]	zhùwài	(Vi) to be stationed abroad
欢庆[歡慶]	huānqìng	(V) to celebrate
挤进[擠進]	jǐjìn	(Vpt) to crowd in, squeeze in
生物[生物]	shēngwù	(N) biology
本能[本能]	běnnéng	(N) instinct
繁衍[繁衍]	fányǎn	(V) to reproduce, propagate
寻找[尋找]	xúnzhǎo	(V) to search for, seek
交配[交配]	jiāopèi	(Vi) to mate, copulate
法则[法則]	fǎzé	(N) law (natural, not legal laws)
定义[定義]	dìngyì	(N/V) definition; to define
互补[互補]	hùbǔ	(Vs) to complement each other
组合[組合]	zǔhé	(N/V) combination; to combine
全体[全體]	quántǐ	(N) as a whole, whole, entire, overall
词汇[詞彙]	cíhuì	(N) word, term, vocabulary
称呼[稱呼]	chēnghū	(V/N) to call; address, name
建构[建構]	jiàngòu	(V) to build, construct
革命[革命]	gémìng	(N/Vi) revolution; to have a revolution
做为[做為]	zuòwéi	(Vst) to serve as
无视[無視]	wúshì	(V) to disregard, defy
干涉[干涉]	gānshè	(V) to interfere
逻辑[邏輯]	luójí	(N) logic
纳入[納入]	nàrù	(V) to incorporate, include
第三者[第三者]	dìsānzhě	(Ph) third party (i.e., the "other man/woman")
原则[原則]	yuánzé	(N) principle
无异[無異]	wúyì	(Vs) not different from, the same as, tantamount to
形式[形式]	xíngshì	(N) form
乱伦[亂倫]	luànlún	(N) incest
不伦[不倫]	bùlún	(N) immorality
白宫[白宮]	Báigōng	(N) White House
巴黎铁塔[巴黎鐵塔]	Bālí Tiětǎ	(Ph) Eiffel Tower
打上[打上]	dǎshàng	(V) to shine up on
灯光[燈光]	dēngguāng	(N) lights
不容忽视[不容忽視]	bùróng hūshì	(Id) cannot ignore, should not be ignored
有赖[有賴]	yǒulài	(Vst) to depend on, contingent on
各界[各界]	gèjiè	(N) all walks of life, the public
对话[對話]	duìhuà	(Vi) to engage in dialogues
激辩[激辯]	jībiàn	(Vi) to engage in robust debate, wrangle
交还[交還]	jiāohuán	(V) to give back to, to return to
//當代中文/Book 6/L01-I
职校[職校]	zhíxiào	(N) vocational school
技职[技職]	jìzhí	(N) technical and vocational career
成功之处[成功之處]	chénggōng zhīchù	(Ph) where it has been successful, achievement
高等[高等]	gāoděng	(Vs-attr) advanced, higher (education)
紧密[緊密]	jǐnmì	(Vs) tight, close
连结[連結]	liánjié	(N/V) linking; to link
争相[爭相]	zhēngxiāng	(Adv) eagerly
典范[典範]	diǎnfàn	(N) paragon, model, example
放眼[放眼]	fàngyǎn	(V) looking to, looking toward
出版[出版]	chūbǎn	(V) to publish
总要[總要]	zǒngyào	(Vaux) to have to
严阵以待[嚴陣以待]	yánzhèn yǐdài	(Id) be ready for, be standing by, lit. wait in full battle array
直言[直言]	zhíyán	(V) to speak bluntly, to state outright
分析[分析]	fēnxī	(V) to analyze
身为[身為]	shēnwéi	(Vst) as, in the capacity of
文凭[文憑]	wénpíng	(N) diploma
一技在身[一技在身]	yíjì zàishēn	(Id) to have a skill
点出[點出]	diǎnchū	(V) to point out
比比皆是[比比皆是]	bìbì jiēshì	(Id) be ubiquitous, everywhere, very common
理论[理論]	lǐlùn	(N) theory
制造业[製造業]	zhìzàoyè	(N) manufacturing industry (製造, zhìzào, V, manufacturing; -業, -yè, N, industry)
上工[上工]	shànggōng	(Vi) to start work, to work independently without supervision
关键[關鍵]	guānjiàn	(N) the key to, key
案[案]	-àn	(N) case
中、小型企业[中、小型企業]	zhōng, xiǎo xíng qìyè	(Ph) small and medium-sized enterprises (SMEs)
投入[投入]	tóurù	(V) to invest, to throw oneself into, carried away with
研发[研發]	yánfā	(V) to research and develop, research and development, R&D
聘请[聘請]	pìnqǐng	(V) to hire, to employ
高阶[高階]	gāojiē	(Vs-attr) high level, advanced
人才[人才]	réncái	(N) talent, people with specialized skills
升级[升級]	shēngjí	(V) to upgrade, to advance, to promote
瑞士[瑞士]	Ruìshì	Switzerland
洛桑管理学院[洛桑管理學院]	Luòsāng guǎnlǐ xuéyuàn	Lausanne Institute (for Management Development)
葛瑞里[葛瑞里]	Gěruìlǐ	Garelli
奥地利[奧地利]	Àodìlì	Austria
瑞典[瑞典]	Ruìdiǎn	Sweden
//當代中文/Book 6/L01-II
提到[提到]	tídào	(V) to mention, to bring up
成效[成效]	chéngxiào	(N) results
愈[愈]	yù	(Adv) the more... (the more)
年度[年度]	niándù	(N) year, annual
评比[評比]	píngbǐ	(N) rating, ranking, assessment
品牌[品牌]	pǐnpái	(N) brand
新兴[新興]	xīnxīng	(Vs-attr) emerging
经济体[經濟體]	jīngjìtǐ	(N) economic entity, economy
进修[進修]	jìnxiū	(Vi) to pursue further studies
逐年[逐年]	zhúnián	(Adv) on a yearly basis, yearly, by the year
公投[公投]	gōngtóu	(Vi/N) to cast ballots on a referendum; referendum
转向[轉向]	zhuǎnxiàng	(V) to shift, change directions
自限[自限]	zìxiàn	(Vi) to limit oneself to, confine oneself to
当初[當初]	dāngchū	(Adv) at first, initially
迫使[迫使]	pòshǐ	(V) to force into
外[外]	wài	(N) outward, external, foreign, to the outside (formal)
高度[高度]	gāodù	(Adv) highly, to a great extent
仰赖[仰賴]	yǎnglài	(Vst) to rely on, to depend on
衰败[衰敗]	shuāibài	(Vs) to decline, deteriorate
保有[保有]	bǎoyǒu	(Vst) to retain, to maintain
创新[創新]	chuàngxīn	(Vi) to innovate
低价[低價]	dījià	(N) low price, discount
倾销[傾銷]	qīngxiāo	(V) to dump (products)
消灭[消滅]	xiāomiè	(V) to be eliminated, displaced
俄国[俄國]	Éguó	Russia
巴西[巴西]	Bāxī	Brazil
非洲[非洲]	Fēizhōu	Africa
拉丁美洲[拉丁美洲]	Lādīng Měizhōu	Latin America
//當代中文/Book 6/L01-III
游艇[游艇]	yóutǐng	(N) yacht
五金[五金]	wǔjīn	(N) hardware (as in a hardware store and things found in a hardware store)
达人[達人]	dárén	(N) expert
代言人[代言人]	dàiyánrén	(N) spokesperson
称为[稱為]	chēngwéi	(V) to be called
精品[精品]	jīngpǐn	(N) quality product
子弟[子弟]	zǐdì	(N) children
唯[唯]	wéi	(Adv) only
高工[高工]	gāogōng	(N) vocational high school
黑手[黑手]	hēishǒu	(N) work (that gets your hands dirty, like car mechanic)
起家[起家]	qǐjiā	(Vi) make one's fortune
奋斗（史）[奮鬥（史）]	fèndòu (shǐ)	(Vi) work hard, struggle; -史, -shǐ, N, history
营业额[營業額]	yíngyè'é	(N) turnover, business volume
教部（＝教育部）[教部（＝教育部）]	Jiāobù (= Jiāoyùbù)	Ministry of Education
曾信哲[曾信哲]	Zēng Xìnzhé	Mark Tseng (the chairman of ARITEX, specializes in the manufacturing of hardware accessories for luxury yachts)
屏东[屏東]	Píngdōng	Pingtung, southern Taiwan
九如[九如]	Jiǔrú	Jiuru, a village in Pingtung
//當代中文/Book 6/L02-I
洞察[洞察]	dòngchá	(V) to investigate, gain insight into
锲而不舍/舍[鍥而不舍/捨]	qiè'ér bùshě	(Id) work unflaggingly, slog away, keep your nose to the grindstone, lit. chisel away incessantly
专精[專精]	zhuānjīng	(Vs) specialized, as an expert
开创[開創]	kāichuàng	(V) to create
契机[契機]	qìjī	(N) opportunity
未必[未必]	wèibì	(Adv) not necessarily
出发[出發]	chūfā	(Vi) to proceed from
特殊[特殊]	tèshū	(Vs) special, extraordinary
群[群]	qún	(M) group of
突发奇想[突發奇想]	túfā qíxiǎng	(Ph) to hit upon an extraordinary idea, have a flash of inspiration
原理[原理]	yuánlǐ	(N) principle, theory
医师[醫師]	yīshī	(N) doctor
配[配]	pèi	(V) to get (glasses), to fill (a prescription), to mix and match (clothes) etc. (In this lesson, 'to have eye-glasses fitted at an optical store, without a doctor's prescription, a common practice in Taiwan.)
眼镜[眼鏡]	yǎnjìng	(N) glasses
相对[相對]	xiāngduì	(Adv) relatively, by comparison
穷困[窮困]	qióngkùn	(Vs) impoverished, destitute
任务[任務]	rènwù	(N) mission
估计[估計]	gūjì	(Vi) to estimate
发明[發明]	fāmíng	(V/N) to invent; invention
自行[自行]	zìxíng	(Adv) by oneself, on one's own
度数[度數]	dùshù	(N) eyesight (prescription), (degree to which one's vision needs correction)
副[副]	fù	(M) measure for (bad) attitudes, (high-brow) appearances, glasses
镜片[鏡片]	jìngpiàn	(N) lens
充满[充滿]	chōngmǎn	(Vpt) filled with
液体[液體]	yìtǐ	(N) liquid
创见[創見]	chuàngjiàn	(N) original idea
原始[原始]	yuánshǐ	(Vs) original, primitive, primeval
出自[出自]	chūzì	(Vpt) to be from
仪器[儀器]	yíqì	(N) instrument
制造商[製造商]	zhìzàoshāng	(N) manufacturer
矫正[矯正]	jiǎozhèng	(V) to correct, to straighten out (a deformation), correction
视力[視力]	shìlì	(N) vision, eyesight
大放光明[大放光明]	dàfàng guāngmíng	(Ph) shine forth in glory, have a great ray of light (in the text, it is a play on words)
影像[影像]	yǐngxiàng	(N) image
开发中国家[開發中國家]	kāifāzhōng guójiā	(Ph) developing nation
需求量[需求量]	xūqiúliàng	(N) level of demand (-量, -liàng, N, quantity)
极[極]	jí	(Adv) highly, extremely
供不应求[供不應求]	gōngbú yìngqiú	(Id) supply cannot keep up with demand
贡献[貢獻]	gòngxiàn	(N) contribution
根源[根源]	gēnyuán	(N) source
从而[從而]	cóng'ér	(Conj) therefore, as a result
人群[人群]	rénqún	(N) crowd, the masses (people)
牛津大学[牛津大學]	Niújīn Dàxué	Oxford University
乔许．席尔佛[喬許．席爾佛]	Qiáoxǔ Xí'ěrfó	Professor Joshua Silver (a UK physicist whose discoveries have included a new way to change the curvature of lenses, and the chief executive of the Centre for Vision in the Developing World at the University of Oxford)
//當代中文/Book 6/L02-II
场所[場所]	chǎngsuǒ	(N) location, venue
照明[照明]	zhàomíng	(Vi) to illuminate
习以为常[習以為常]	xíyǐ wéicháng	(Id) be used to, accustomed to, no stranger to
电力[電力]	diànlì	(N) electric power
答案[答案]	dá'àn	(N) answer
入夜[入夜]	rùyè	(Vp) to enter nighttime, at nightfall
村落[村落]	cūnluò	(N) village
贴补家用[貼補家用]	tiēbǔ jiāyòng	(Ph) to help out with family expenses
煤油灯[煤油燈]	méiyóudēng	(N) kerosene lamp
有损[有損]	yǒusǔn	(Vst) to cause damage to, be harmful to
孩童[孩童]	háitóng	(N) child
燃烧[燃燒]	ránshāo	(V) to burn
呼吸道[呼吸道]	hūxīdào	(N) respiratory tract
单单[單單]	dāndān	(Adv) alone, just, merely
病症[病症]	bìngzhèng	(N) sickness, disease
室内[室內]	shìnèi	(N) indoor
照亮[照亮]	zhàoliàng	(Vpt) to light up, to illuminate
基金会[基金會]	jījīnhuì	(N) foundation (organization)
接[接]	jiē	(V) to connect (with)
动用[動用]	dòngyòng	(V) to disburse, mobilize
人力[人力]	rénlì	(N) manpower
物力[物力]	wùlì	(N) coined on the basis of 人力, referring in this lesson to (heavy) equipment
架设[架設]	jiàshè	(V) to erect, to set up
电缆[電纜]	diànlǎn	(N) electric cable
工程[工程]	gōngchéng	(N) (engineering) project, engineering
固态光源（SSL）[固態光源（SSL）]	gùtài guāngyuán	(Ph) solid state lighting
简称[簡稱]	jiǎnchēng	(N) abbreviation
瓦[瓦]	wǎ	(M) watt
日光板[日光板]	rìguāngbǎn	(N) solar panel (日光, rìguāng, N, sunlight; 板, bǎn, N, board)
蓄电[蓄電]	xùdiàn	(Vs-sep) electric power storage
电池[電池]	diànchí	(N) battery
发光二极管（LED）[發光二極體（LED）]	fāguāng èrjítǐ	(Ph) light emitting diode
系统[系統]	xìtǒng	(N) system
安装[安裝]	ānzhuāng	(V) to install
群众[群眾]	qúnzhòng	(N) the masses, people, crowds
剥夺[剝奪]	bōduó	(V) to deprive (of)
文盲[文盲]	wénmáng	(N) the illiterate
尔文．哈乐戴[爾文．哈樂戴]	Ěrwén Hālèdài	Dave Irvine-Halliday (a Canadian photonics specialist, his Light Up the World (LUTW) project is to bring affordable lighting to the developing world through the introduction of solid state lighting (SSL) based on light emitting diodes (LEDs))
卡加利大学[卡加利大學]	Kǎjiālì Dàxué	University of Calgary, Canada
尼泊尔[尼泊爾]	Níbó'ěr	Nepal
喜马拉雅山群[喜馬拉雅山群]	Xǐmǎlāyǎ Shānqún	Himalaya Mountains, the Himalayas
//當代中文/Book 6/L03-I
前所未有[前所未有]	qiánsuǒ wèiyǒu	(Id) unprecedented, like never before
尽情[盡情]	jìnqíng	(Adv) to one's heart's content, without restraint
挥洒[揮灑]	huīsǎ	(Vi) to display without reservation
舞蹈家[舞蹈家]	wǔdàojiā	(N) professional and accomplished dancer (家, -jiā, N, -er, -ian, -ist)
描述[描述]	miáoshù	(V) to describe
舞者[舞者]	wǔzhě	(N) dancer
舞台[舞台]	wǔtái	(N) stage (theatrical)
舞码[舞碼]	wǔmǎ	(N) program of a dance
传人[傳人]	chuánrén	(N) successor
芭蕾[芭蕾]	bālěi	(N) ballet
及格[及格]	jígé	(Vp) to pass, satisfactory, meet the grade
满分[滿分]	mǎnfēn	(N) full marks, a perfect score
众所皆知[眾所皆知]	zhòngsuǒ jiēzhī	(Id) well-known, known by all
大师[大師]	dàshī	(N) master, great master
特地[特地]	tèdì	(Adv) go out of one's way, make it a point to, specially
解散[解散]	jiěsàn	(V) to disperse, to dissolve, to disband
舞团[舞團]	wǔtuán	(N) dance troupe, dance company
邀约[邀約]	yāoyuē	(N) invitation
培训[培訓]	péixùn	(V) to train
无[無]	wú	(Vst) without, not have (classical Chinese)
传承[傳承]	chuánchéng	(V) to pass down, to pass along
邀请[邀請]	yāoqǐng	(V) to invite
编舞家[編舞家]	biānwǔjiā	(N) choreographer
量身打造[量身打造]	liángshēn dǎzào	(Id) tailor-make, specially made for, custom design
舞目[舞目]	wǔmù	(N) dance program
首席[首席]	shǒuxí	(N) first chair (e.g., first cello), leading, chief position
舞星[舞星]	wǔxīng	(N) dance star
会[會]	huì	(V) to meet up, to confront
心血[心血]	xīnxiě	(N) blood and sweat, painstaking effort
化为[化為]	huàwéi	(Vpt) to transform into, to turn into, to change into
作品[作品]	zuòpǐn	(N) production, work, composition
规划[規劃]	guīhuà	(N) plan
舞曲[舞曲]	wǔqǔ	(N) dance music
民俗[民俗]	mínsú	(N) folk, folklore
生平[生平]	shēngpíng	(N) in one's life time, life, life story
不得不[不得不]	bùdébù	(Adv) must; have to
硬着头皮[硬著頭皮]	yìngzhe tóupí	(Ph) summon up the courage to do something, brace yourself to do something, force yourself to do something
洒落[灑落]	sǎluò	(Vi) sprinkled, scattered (leaves, petals), flooded, inundated (light)
刹那[剎那]	chànà	(N) moment, instant
感到[感到]	gǎndào	(Vst) to feel
存在感[存在感]	cúnzàigǎn	(N) sense of presence, sense of existence
报考[報考]	bàokǎo	(V) to apply for admission to a school/university
民族舞[民族舞]	mínzúwǔ	(N) folk dance
终[終]	zhōng	(Adv) in the end, ultimately, eventually (classical Chinese)
上帝[上帝]	shàngdì	(N) God
疼爱[疼愛]	téng'ài	(Vst) to love dearly
生身不息[生身不息]	Shēngshēn Bùxí	timeless (name of a dance program)
许芳宜[許芳宜]	Xǔ Fāngyí	Sheu Fang-yi (a famous female dancer and artist from Taiwan, 1971-)
劳勃．阿特曼[勞勃．阿特曼]	Láobó Ātèmàn	Robert Altman (an American film director, screenwriter, and producer, five-time nominee of the Academy Award for Best Director, 1925-2006)
舞动世纪[舞動世紀]	Wǔdòng Shìjì	The Company (name of a movie, 2003)
马莎．葛兰姆[瑪莎．葛蘭姆]	Mǎshā Gělánmǔ	Martha Graham (an American modern dancer and choreographer, one of the earliest founders of modern dance, 1894-1991)
伦敦[倫敦]	Lúndūn	London
阿喀郎．汗[阿喀郎．汗]	Ākèláng Hàn	Akram Khan (an English dancer of Bangladeshi descent, 1974-)
克理斯多福．惠尔敦[克理斯多福．惠爾敦]	Kèlǐsīduōfú Huì'ěrdūn	Christopher Wheeldon (an English international choreographer of contemporary ballet, 1973-)
纽约市立芭蕾舞团[紐約市立芭蕾舞團]	Niǔyuē shìlì bālěi wǔtuán	New York City Ballet
温迪．威伦[溫蒂．威倫]	Wēndì Wēilún	Wendy Whelan (a principal dancer with the New York City Ballet and is a guest artist with The Royal Ballet and the Kirov Ballet, 1967-)
华冈艺校[華岡藝校]	Huágāng Yìxiào	Taipei Hwa Kang Arts School
//當代中文/Book 6/L03-II
从（来）[從（來）]	cóng (lái)	(Adv) has always been; all along
不间断（地）[不間斷（地）]	bú jiànduàn (de)	(Adv) without interruption
保送[保送]	bǎosòng	(V) to be admitted to university solely upon recommendation without exams
扇[扇]	shàn	(M) measure for doors
贵人[貴人]	guìrén	(N) a guardian angel
一眼[一眼]	yìyǎn	(Adv) with one look, with one glance, instantly
发觉[發覺]	fājué	(Vp) to realize, discover
才华[才華]	cáihuá	(N) talent
痛哭流涕[痛哭流涕]	tòngkū liútì	(Id) to burst into tears, cry your heart out
辈子[輩子]	bèizi	(N) (over) one's life time
公开[公開]	gōngkāi	(Adv) openly, publicly
称赞[稱讚]	chēngzàn	(V) to praise
下定决心[下定決心]	xiàdìng juéxīn	(Ph) to resolve to do, determined to do, make up one's mind
海绵[海綿]	hǎimián	(N) sponge
吸收[吸收]	xīshōu	(V) to absorb
只身[隻身]	zhīshēn	(Adv) alone, by oneself, unaccompanied
术科[術科]	shùkē	(N) technical subject
跳舞[跳舞]	tiàowǔ	(V-sep) to dance
其余[其餘]	qíyú	(Det) others, the remaining
学科[學科]	xuékē	(N) academic subjects
凭[憑]	píng	(Prep) owing to, relying on, by means of
毅力[毅力]	yìlì	(N) will-power, determination
克服[克服]	kèfú	(V) to overcome
语言翻译机[語言翻譯機]	yǔyán fānyìjī	(Ph) e-language translator
种种[種種]	zhǒngzhǒng	(M) various kinds of
瞬间[瞬間]	shùnjiān	(N) instant, moment, in the twinkling of an eye
加诸（在）[加諸（在）]	jiāzhū (zài)	(V) to be added to, conferred upon
冲昏头[沖昏頭]	chōnghūn tóu	(Ph) to let something get to your head, let your head swell from (praise, pride, etc.), dazzled by
评论[評論]	pínglùn	(N) commentary, review
天堂[天堂]	tiāntáng	(N) heaven, paradise
地狱[地獄]	dìyù	(N) hell
战战兢兢[戰戰兢兢]	zhànzhàn jīngjīng	(Id) timid with anticipation, trembling, jittery
当作[當作]	dāngzuò	(Vst) regard as
肯定[肯定]	kěndìng	(N) approval, affirmation
再次[再次]	zàicì	(Adv) yet again
何尝[何嘗]	hécháng	(Adv) cannot possibly
不自觉[不自覺]	búzìjué	(Adv) unconsciously, without realizing it
体内[體內]	tǐnèi	(N) inside a person, inside the body, from within
散[散]	sàn	(Vi) to disperse, permeate
熟悉[熟悉]	shóuxī	(Vs) familiar
脸孔[臉孔]	liǎnkǒng	(N) face (literary)
期待已久[期待已久]	qídài yǐjiǔ	(Ph) long awaited, long anticipated, looked forward to for a long time
固定[固定]	gùdìng	(Vs) fixed, invariable, by routine
罗斯．帕克斯[羅斯．帕克斯]	Luósī Pàkèsī	Ross Parkes (formerly a principal dancer for the well-known Martha Graham Dance Company in the United States, 1940-)
葛兰姆舞团[葛蘭姆舞團]	Gělánmǔ wǔtuán	Martha Graham Dance Company, New York
//當代中文/Book 6/L04-I
做人[做人]	zuòrén	(Vi) to conduct oneself, to behave
心法[心法]	xīnfǎ	(N) mental cultivation methods
谈论[談論]	tánlùn	(V) to discuss, to talk about
真诚[真誠]	zhēnchéng	(Vs) sincere, sincerity
赞美[讚美]	zànměi	(V/N) to praise; praise
亲和力[親和力]	qīnhélì	(N) likeability, affinity
笑容[笑容]	xiàoróng	(N) smile
此[此]	cǐ	(Det) (literary) this, these
秘诀[祕訣]	mìjué	(N) secret (of success)
拉近距离[拉近距離]	lājìn jùlí	(Ph) connect with, get to know better, bring people closer together, close the gap between people
传授[傳授]	chuánshòu	(V) to impart, to pass on knowledge
独门[獨門]	dúmén	(Vs-attr) unique, special, (below) business without competitors
人际[人際]	rénjì	(Vs-attr) interpersonal
销售[銷售]	xiāoshòu	(V/N) to sell; sales
畅销[暢銷]	chàngxiāo	(Vs) to sell well, best seller
谦称[謙稱]	qiānchēng	(V) humbly refer to oneself, modestly say (about oneself)
抱持[抱持]	bàochí	(V) to maintain
哲学[哲學]	zhéxué	(N) philosophy
读者[讀者]	dúzhě	(N) reader (of books and newspapers)
踏出[踏出]	tàchū	(V) take a step forward
悦耳[悅耳]	yuè'ěr	(Vs) pleasant sounding, pleasant to the ears
热忱[熱忱]	rèchén	(N) enthusiasm
不妨[不妨]	bùfáng	(Adv) might as well, there's no harm in
好比[好比]	hǎobǐ	(Vst) for instance, like, such as
告别[告別]	gàobié	(Vi) say goodbye, bid farewell
记住[記住]	jìzhù	(V) remember
对方[對方]	duìfāng	(N) the other party, the other person
宴会[宴會]	yànhuì	(N) banquet, feast
自顾自（地）[自顧自（地）]	zìgùzì (de)	(Adv) only thinking about yourself, without taking others into consideration
讲[講]	jiǎng	(V) to talk, to say, to speak
整整[整整]	zhěngzhěng	(Adv) fully
插嘴[插嘴]	chāzuǐ	(V-sep) to interrupt, get a word in edgewise
余地[餘地]	yúdì	(N) room for, opportunity to
以致（于）[以致（於）]	yǐzhì (yú)	(Conj) so that, as a result
同桌[同桌]	tóngzhuō	(Vi) to sit at the same table
罚站[罰站]	fázhàn	(V-sep) to be punished by being made to stand
听教[聽教]	tīngjiào	(Vi) to listen (somebody's "preaching", advice, etc.), be read the riot act
似地[似地]	sìde	(Ptc) as if, like
凝滞[凝滯]	níngzhì	(Vs) stagnated
一吐为快[一吐為快]	yìtǔ wéikuài	(Id) spit it out, get something off your chest, here: speak without hesitation, speak your fill
提问[提問]	tíwèn	(Vi) to ask a question
黑幼龙[黑幼龍]	Hēi Yòulóng	John Hei (the Greater China Group Leader of Carnegie training, who introduced Carnegie training to Taiwan in 1987, 1940-)
卡内基[卡內基]	Kǎnèijī	Dale Carnegie (an American writer and lecturer and the developer of famous courses in self-improvement, salesmanship, corporate training, public speaking, and interpersonal skills, 1888-1955)
//當代中文/Book 6/L04-II
心坎[心坎]	xīnkǎn	(N) from the bottom of one's heart, one's heart of hearts
本质[本質]	běnzhí	(N) nature, real self
驱策[驅策]	qūcè	(V) to drive
深切[深切]	shēnqiè	(Vs) deep, heartfelt
真心[真心]	zhēnxīn	(Adv) genuinely, sincerely
可想而知[可想而知]	kěxiǎng érzhī	(Id) as you can easily imagine
人缘[人緣]	rényuán	(N) interpersonal popularity
命中[命中]	mìngzhòng	(Vpt) to hit (the mark)
成就[成就]	chéngjiù	(N) achievement
真切[真切]	zhēnqiè	(Vs) sincere
性格[性格]	xìnggé	(N) character, personality
爱心[愛心]	àixīn	(N) compassion, loving heart
口香糖[口香糖]	kǒuxiāngtáng	(N) gum, chewing gum
力道[力道]	lìdào	(N) strength, power
发自[發自]	fāzì	(Vst) originate from, from, s/t finds its source in
企图[企圖]	qìtú	(N) ulterior motives
失效[失效]	shīxiào	(Vp) to produce no results, to become invalid
下属[下屬]	xiàshǔ	(N) subordinate
责任感[責任感]	zérèngǎn	(N) sense of responsibility
随后[隨後]	suíhòu	(Adv) subsequently
拜托[拜託]	bàituō	(V) please, I beg you
别有居心[別有居心]	biéyǒu jūxīn	(Id) to have ulterior motives, have a less than respectable agenda
适得其反[適得其反]	shìdé qífǎn	(Id) to have unintended results, backfire, be counterproductive
小看[小看]	xiǎokàn	(Vst) to belittle, to look down on, to underestimate
威力[威力]	wēilì	(N) power, force
予[予]	yǔ	(V) to give, to bestow with (classical Chinese)
深刻[深刻]	shēnkè	(Vs) deep, profound
互动[互動]	hùdòng	(Vi) to interact
定下[定下]	dìngxià	(V) to commit to, to establish
赢得[贏得]	yíngdé	(Vpt) to win over
借着[藉著]	jièzhe	(Prep) by means of, relying on
驱动力[驅動力]	qūdònglì	(N) driving force
威廉．詹姆士[威廉．詹姆士]	Wēilián Zhānmǔshì	William James (an American philosopher and psychologist, and one of the leading thinkers of the late nineteenth century, while others have labeled him the "Father of American psychology", 1842-1910)
艾森豪威尔[艾森豪]	Àisēnháo	Dwight D. Eisenhower (the 34th President of the United States from 1953 to 1961, 1890-1969)
//當代中文/Book 6/L04-III
机缘[機緣]	jīyuán	(N) connections to great opportunities
饭店[飯店]	fàndiàn	(N) hotel (modern, especially in Taiwan)
伸[伸]	shēn	(V) to extend, stretch
名片[名片]	míngpiàn	(N) business card
正[正]	zhèng	(Adv) just, exactly
梦寐以求[夢寐以求]	mèngmèi yǐqiú	(Id) dream (as in 'a dream job')
直觉（地）[直覺（地）]	zhíjué (de)	(Adv) intuitively
淡季[淡季]	dànjì	(N) low season, off season
吃了一惊[吃了一驚]	chīle yìjīng	(Ph) be greatly surprised, taken aback, caught off guard
忠诚[忠誠]	zhōngchéng	(Vs/N) faithful; faithfulness, fidelity
跳槽[跳槽]	tiàocáo	(Vi) to change jobs, go job-hopping
等候[等候]	děnghòu	(V) wait, wait for (formal)
//當代中文/Book 6/L05-I
开阔[開闊]	kāikuò	(Vs) wide, expansive
转动[轉動]	zhuǎndòng	(Vi) to revolve
共通[共通]	gòngtōng	(Vs-attr) common, universal
水果摊[水果攤]	shuǐguǒtān	(N) fruit stand
瓜香果艳[瓜香果豔]	guāxiāng guǒyàn	(Ph) filled with the fragrances and beauty of various types of fruit
常客[常客]	chángkè	(N) regular customer
秤[秤]	chèng	(V) to weigh
手摆脚动[手擺腳動]	shǒubǎi jiǎodòng	(Ph) to gesticulate, talk with your hands (and feet)
身陷[身陷]	shēnxiàn	(Vst) to find oneself in (a bad situation)
迷宫[迷宮]	mígōng	(N) maze
文法[文法]	wénfǎ	(N) grammar
浓重[濃重]	nóngzhòng	(Vs) heavy, thick (e.g., accent, nasal sound)
回复[回覆]	huífù	(V) to answer, to respond
焦急[焦急]	jiāojí	(Vs) anxious
催熟[催熟]	cuīshóu	(V) to accelerate the ripening, to ripen
急忙[急忙]	jímáng	(Adv) hurriedly, in a hurry
临时[臨時]	línshí	(Vs-attr/Adv) temporary, impromptu
口译[口譯]	kǒuyì	(N/V) (oral) interpretation; to interpret
达成[達成]	dáchéng	(Vpt) to realize, to reach
道谢[道謝]	dàoxiè	(V-sep) to say thank to, to express appreciation to
面前[面前]	miànqián	(N) in front of, before
紊乱[紊亂]	wènluàn	(Vs) in a mess, in chaos, all mixed up
错乱[錯亂]	cuòluàn	(Vs) in disorder, in confusion
人家[人家]	rénjiā	(N) other people
校长[校長]	xiàozhǎng	(N) principal (primary, secondary school), president (university)
旅途[旅途]	lǚtú	(N) trip, travels
劳累[勞累]	láolèi	(Vs) tired, tiring
傲慢[傲慢]	àomàn	(Vs) arrogant
皱眉[皺眉]	zhòuméi	(V-sep) to wrinkle one's eyebrows, to frown
标识[標識]	biāozhì	(N) mark, logo, marking, sign
国际观[國際觀]	guójìguān	(N) global perspective
接轨[接軌]	jiēguǐ	(Vi) to integrate with (another entity), to get in step with, (lit. connect rails)
身在[身在]	shēnzài	(Vst) (of a person) located, to be (somewhere)
柏林[柏林]	Bólín	Berlin
土耳其[土耳其]	Tǔ'ěrqí	Turkey
//當代中文/Book 6/L05-II
眼见[眼見]	yǎnjiàn	(V) seeing that, to observe
心急[心急]	xīnjí	(Vs) anxious, agitated
浪潮[浪潮]	làngcháo	(N) wave, trend
抛[拋]	pāo	(V) to toss, to throw, cast aside
淘汰[淘汰]	táotài	(Vpt) to eliminate (through competition), weed out
督促[督促]	dūcù	(V) supervise and urge, to urge
背[背]	bèi	(V) to memorize
